11,2000-02-27 13:10:08.0,1,92.34
12,2000-02-22 17:26:45.0,1,95.15
17,2000-12-19 16:34:53.0,1,94.05
20,2000-07-06 02:11:50.0,1,92.76
30,2000-05-13 13:02:11.0,1,95.11
38,2000-08-13 06:08:33.0,1,96.13
41,2000-10-08 01:12:30.0,1,91.05
43,2000-09-08 06:21:43.0,1,99.1
52,2000-04-21 17:19:30.0,1,99.19
55,2000-04-11 22:55:00.0,1,96.67
59,2000-04-02 01:49:20.0,1,99.86
64,2000-07-19 19:36:06.0,1,93.28
78,2000-09-30 00:21:53.0,1,97.19
95,2000-06-20 00:10:20.0,1,98.73
104,2000-04-05 09:14:15.0,1,96.69
120,2000-07-22 09:22:07.0,1,96.74
121,2000-03-01 09:56:07.0,1,92.5
125,2000-01-12 01:26:19.0,1,96.87
138,2000-01-02 20:55:27.0,1,91.31
142,2000-06-14 16:37:05.0,1,96.97
167,2000-03-29 22:49:49.0,1,94.26
175,2000-02-04 13:31:42.0,1,96.59
183,2000-07-08 21:55:57.0,1,96.73
189,2000-05-21 10:42:49.0,1,93.72
198,2000-10-25 12:51:54.0,1,98.5
204,2000-02-12 17:10:31.0,1,99.59
212,2000-02-24 21:57:40.0,1,90.88
223,2000-08-21 13:41:39.0,1,95.33
226,2000-09-18 11:09:44.0,1,95.09
273,2000-08-05 14:49:20.0,1,91.26
284,2000-12-01 04:54:57.0,1,90.76
291,2000-06-02 14:44:34.0,1,93.16
300,2000-04-22 15:07:31.0,1,90.27
305,2000-06-20 01:14:18.0,1,96.38
311,2000-10-31 13:22:37.0,1,92.92
312,2000-02-22 05:24:58.0,1,92.73
315,2000-09-14 12:47:28.0,1,91.26
330,2000-06-20 16:52:17.0,1,92.79
333,2000-01-27 10:39:39.0,1,91.64
351,2000-11-06 15:40:56.0,1,94.15
352,2000-02-26 08:32:22.0,1,94.71
356,2000-02-12 02:17:54.0,1,93.91
357,2000-05-07 19:21:07.0,1,93.28
365,2000-03-28 21:32:14.0,1,94.12
375,2000-04-15 00:00:35.0,1,91.7
384,2000-03-05 22:01:37.0,1,94.46
398,2000-12-19 13:20:01.0,1,93.74
426,2000-01-04 02:22:25.0,1,93.99
453,2000-04-20 23:44:42.0,1,90.94
470,2000-03-26 02:31:41.0,1,92.33
492,2000-03-24 20:25:55.0,1,94.36
